payment_id,customer_id,amount,payment_method,failure_reason,previous_attempts,successful_payments,failed_payments,customer_success_rate,expected_recovery,expected_action
pay_syn_025,cust_syn_025,2900.0,UPI,Temporary bank connection issue,0,7,1,0.88,true,RETRY
pay_syn_026,cust_syn_026,3300.0,Card,Temporary network timeout,0,14,2,0.88,true,RETRY
pay_syn_027,cust_syn_027,1600.0,UPI,Insufficient funds,0,3,1,0.75,false,REMINDER
pay_syn_028,cust_syn_028,2400.0,Card,Authentication failure,0,5,2,0.71,false,REMINDER
pay_syn_029,cust_syn_029,3600.0,UPI,Temporary bank error,0,11,0,1.00,true,RETRY
pay_syn_030,cust_syn_030,4800.0,Netbanking,Temporary bank network error,0,16,1,0.94,true,RETRY
pay_syn_031,cust_syn_031,7500.0,Card,Unknown gateway failure,0,4,2,0.67,false,ESCALATE
pay_syn_032,cust_syn_032,2100.0,UPI,Temporary bank error,0,9,1,0.90,true,RETRY
pay_syn_033,cust_syn_033,3900.0,Card,Temporary network error,0,13,2,0.87,true,RETRY
pay_syn_034,cust_syn_034,1400.0,UPI,Expired card or auth error,0,3,3,0.50,false,REMINDER
pay_syn_035,cust_syn_035,4600.0,Netbanking,Temporary bank error,0,10,1,0.91,true,RETRY
pay_syn_036,cust_syn_036,3700.0,UPI,Temporary network failure,0,12,1,0.92,true,RETRY
pay_syn_037,cust_syn_037,2300.0,Card,Temporary bank error,0,8,1,0.89,true,RETRY
pay_syn_038,cust_syn_038,12500.0,Card,Temporary network error,0,19,1,0.95,false,ESCALATE
pay_syn_039,cust_syn_039,3000.0,UPI,Temporary bank error,0,15,0,1.00,true,RETRY
pay_syn_040,cust_syn_040,4300.0,Netbanking,Temporary bank network failure,0,7,1,0.88,true,RETRY
pay_syn_041,cust_syn_041,2600.0,UPI,Insufficient funds,0,4,2,0.67,false,REMINDER
pay_syn_042,cust_syn_042,3200.0,Card,Temporary bank error,0,11,1,0.92,true,RETRY
pay_syn_043,cust_syn_043,4700.0,UPI,Temporary network timeout,0,13,0,1.00,true,RETRY
pay_syn_044,cust_syn_044,9200.0,Netbanking,Unknown failure reason,0,2,5,0.29,false,ESCALATE
pay_syn_045,cust_syn_045,1700.0,UPI,Temporary bank error,0,6,1,0.86,true,RETRY
pay_syn_046,cust_syn_046,3800.0,Card,Temporary bank error,0,10,2,0.83,true,RETRY
pay_syn_047,cust_syn_047,2100.0,Netbanking,Authentication timeout,0,5,1,0.83,false,REMINDER
pay_syn_048,cust_syn_048,4900.0,UPI,Temporary bank connection issue,0,14,1,0.93,true,RETRY
pay_syn_049,cust_syn_049,3400.0,Card,Temporary network error,0,9,0,1.00,true,RETRY
pay_syn_050,cust_syn_050,14000.0,UPI,Temporary bank error,0,17,1,0.94,false,ESCALATE
pay_syn_051,cust_syn_051,2800.0,UPI,Temporary bank error,0,8,1,0.89,true,RETRY
pay_syn_052,cust_syn_052,4100.0,Netbanking,Temporary network error,0,12,1,0.92,true,RETRY
pay_syn_053,cust_syn_053,1900.0,Card,Insufficient funds,0,3,2,0.60,false,REMINDER
pay_syn_054,cust_syn_054,3600.0,UPI,Temporary bank error,0,10,1,0.91,true,RETRY
pay_syn_055,cust_syn_055,4400.0,Card,Temporary bank error,0,15,1,0.94,true,RETRY
pay_syn_056,cust_syn_056,11000.0,Netbanking,Temporary network timeout,0,11,2,0.85,false,ESCALATE
pay_syn_057,cust_syn_057,2500.0,UPI,Temporary bank error,0,7,0,1.00,true,RETRY
pay_syn_058,cust_syn_058,3300.0,Card,Temporary bank error,0,9,1,0.90,true,RETRY
pay_syn_059,cust_syn_059,1300.0,Netbanking,Expired session,0,4,1,0.80,false,REMINDER
pay_syn_060,cust_syn_060,4200.0,UPI,Temporary bank network error,0,13,1,0.93,true,RETRY
pay_syn_061,cust_syn_061,3100.0,Card,Temporary bank error,0,8,1,0.89,true,RETRY
pay_syn_062,cust_syn_062,2200.0,UPI,Temporary network failure,0,6,0,1.00,true,RETRY
pay_syn_063,cust_syn_063,16500.0,Card,Temporary bank error,0,22,1,0.96,false,ESCALATE
pay_syn_064,cust_syn_064,3900.0,Netbanking,Temporary bank error,0,10,1,0.91,true,RETRY
pay_syn_065,cust_syn_065,4800.0,UPI,Temporary bank network timeout,0,14,2,0.88,true,RETRY
pay_syn_066,cust_syn_066,1500.0,Card,Insufficient funds,0,2,1,0.67,false,REMINDER
pay_syn_067,cust_syn_067,2700.0,UPI,Temporary bank error,0,7,1,0.88,true,RETRY
pay_syn_068,cust_syn_068,3500.0,Card,Temporary network error,0,11,0,1.00,true,RETRY
pay_syn_069,cust_syn_069,7800.0,Netbanking,Unknown bank gateway error,0,3,3,0.50,false,ESCALATE
pay_syn_070,cust_syn_070,2400.0,UPI,Temporary bank error,0,9,1,0.90,true,RETRY
pay_syn_071,cust_syn_071,4300.0,Card,Temporary bank network error,0,12,1,0.92,true,RETRY
pay_syn_072,cust_syn_072,1800.0,Netbanking,Authentication failure,0,4,2,0.67,false,REMINDER
pay_syn_073,cust_syn_073,3600.0,UPI,Temporary bank error,0,10,1,0.91,true,RETRY
pay_syn_074,cust_syn_074,4950.0,Card,Temporary network timeout,0,15,1,0.94,true,RETRY
pay_syn_075,cust_syn_075,21000.0,UPI,Temporary bank error,0,18,2,0.90,false,ESCALATE
pay_syn_076,cust_syn_076,3200.0,UPI,Temporary bank error,0,8,0,1.00,true,RETRY
pay_syn_077,cust_syn_077,4100.0,Card,Temporary bank error,0,13,1,0.93,true,RETRY
pay_syn_078,cust_syn_078,1400.0,Netbanking,Insufficient funds,0,1,2,0.33,false,REMINDER
pay_syn_079,cust_syn_079,2900.0,UPI,Temporary bank connection error,0,7,1,0.88,true,RETRY
pay_syn_080,cust_syn_080,3700.0,Card,Temporary network error,0,11,1,0.92,true,RETRY
pay_syn_081,cust_syn_081,13500.0,Netbanking,Temporary bank error,0,16,1,0.94,false,ESCALATE
pay_syn_082,cust_syn_082,2300.0,UPI,Temporary bank error,0,6,1,0.86,true,RETRY
pay_syn_083,cust_syn_083,4600.0,Card,Temporary bank network error,0,12,0,1.00,true,RETRY
pay_syn_084,cust_syn_084,1700.0,UPI,Insufficient funds,0,3,1,0.75,false,REMINDER
pay_syn_085,cust_syn_085,3400.0,Netbanking,Temporary bank error,0,10,2,0.83,true,RETRY
pay_syn_086,cust_syn_086,4200.0,UPI,Temporary network timeout,0,14,1,0.93,true,RETRY
pay_syn_087,cust_syn_087,9500.0,Card,Unknown gateway failure,0,2,4,0.33,false,ESCALATE
pay_syn_088,cust_syn_088,2600.0,UPI,Temporary bank error,0,8,1,0.89,true,RETRY
pay_syn_089,cust_syn_089,3800.0,Card,Temporary bank error,0,11,1,0.92,true,RETRY
pay_syn_090,cust_syn_090,1950.0,Netbanking,Session expired,0,5,1,0.83,false,REMINDER
pay_syn_091,cust_syn_091,4400.0,UPI,Temporary bank network failure,0,13,1,0.93,true,RETRY
pay_syn_092,cust_syn_092,3100.0,Card,Temporary bank error,0,9,0,1.00,true,RETRY
pay_syn_093,cust_syn_093,17500.0,UPI,Temporary bank error,0,20,2,0.91,false,ESCALATE
pay_syn_094,cust_syn_094,2700.0,Netbanking,Temporary bank connection timeout,0,7,1,0.88,true,RETRY
pay_syn_095,cust_syn_095,4500.0,UPI,Temporary bank network error,0,12,1,0.92,true,RETRY
pay_syn_096,cust_syn_096,1600.0,Card,Insufficient funds,0,3,2,0.60,false,REMINDER
pay_syn_097,cust_syn_097,3300.0,UPI,Temporary bank error,0,10,1,0.91,true,RETRY
pay_syn_098,cust_syn_098,4800.0,Card,Temporary network timeout,0,15,1,0.94,true,RETRY
pay_syn_099,cust_syn_099,11500.0,Netbanking,Unknown error,0,1,3,0.25,false,ESCALATE
pay_syn_100,cust_syn_100,3500.0,UPI,Temporary bank error,0,14,0,1.00,true,RETRY
